Film_title,Director,Average_rating,Genres,Total_ratings,Film_URL,,,,
The Hobbit: An Unexpected Journey,Peter Jackson,3.52,"['Fantasy', 'Action', 'Adventure']",760064,https://letterboxd.com/film/the-hobbit-an-unexpected-journey/,,,,
Moana,"Ron Clements, John Musker",3.72,"['Animation', 'Adventure', 'Family', 'Comedy']",1214309,https://letterboxd.com/film/moana-2016/,,,,
Wayne's World,Penelope Spheeris,3.55,"['Music', 'Comedy']",186615,https://letterboxd.com/film/waynes-world/,,,,
Ghost in the Shell,Mamoru Oshii,4.09,"['Animation', 'Science Fiction', 'Action']",306998,https://letterboxd.com/film/ghost-in-the-shell/,,,,
Sleeping with Other People,Leslye Headland,3.35,"['Romance', 'Comedy']",60041,https://letterboxd.com/film/sleeping-with-other-people/,,,,
Blade,Stephen Norrington,3.46,"['Action', 'Horror']",285852,https://letterboxd.com/film/blade/,,,,
Clueless,Amy Heckerling,3.72,"['Comedy', 'Romance']",1233472,https://letterboxd.com/film/clueless/,,,,
Robin Hood,Wolfgang Reitherman,3.72,"['Animation', 'Adventure', 'Family']",205143,https://letterboxd.com/film/robin-hood/,,,,
Memento,Christopher Nolan,4.17,"['Mystery', 'Thriller']",1322267,https://letterboxd.com/film/memento/,,,,
Death Note,Adam Wingard,1.49,"['Crime', 'Horror', 'Fantasy']",189192,https://letterboxd.com/film/death-note-2017/,,,,
Enemy,Denis Villeneuve,3.61,"['Mystery', 'Thriller']",438678,https://letterboxd.com/film/enemy/,,,,
Evil Dead II,Sam Raimi,4.02,"['Horror', 'Comedy', 'Fantasy']",345773,https://letterboxd.com/film/evil-dead-ii/,,,,
Die Hard,John McTiernan,4.06,"['Thriller', 'Action']",884887,https://letterboxd.com/film/die-hard/,,,,
Beetlejuice,Tim Burton,3.74,"['Fantasy', 'Comedy']",1167152,https://letterboxd.com/film/beetlejuice/,,,,
X-Men: Days of Future Past,Bryan Singer,3.67,"['Adventure', 'Action', 'Science Fiction']",753628,https://letterboxd.com/film/x-men-days-of-future-past/,,,,
Dunkirk,Christopher Nolan,3.77,"['Action', 'Drama', 'War']",1442591,https://letterboxd.com/film/dunkirk-2017/,,,,
Back to the Future Part II,Robert Zemeckis,3.88,"['Comedy', 'Science Fiction', 'Adventure']",766009,https://letterboxd.com/film/back-to-the-future-part-ii/,,,,
"Hail, Caesar!","Joel Coen, Ethan Coen",3.26,"['Crime', 'Comedy', 'Drama', 'Mystery']",223084,https://letterboxd.com/film/hail-caesar-2016/,,,,
Let the Right One In,Tomas Alfredson,4.04,"['Horror', 'Drama']",191353,https://letterboxd.com/film/let-the-right-one-in/,,,,
Almost Famous,Cameron Crowe,4.06,"['Drama', 'Music']",504723,https://letterboxd.com/film/almost-famous/,,,,
Hunt for the Wilderpeople,Taika Waititi,4.07,"['Comedy', 'Drama', 'Adventure']",312648,https://letterboxd.com/film/hunt-for-the-wilderpeople/,,,,
Black Mirror: San Junipero,Owen Harris,4.14,"['Thriller', 'TV Movie', 'Science Fiction', 'Drama']",187345,https://letterboxd.com/film/black-mirror-san-junipero/,,,,
They Live,John Carpenter,3.77,"['Action', 'Science Fiction']",251085,https://letterboxd.com/film/they-live/,,,,
Airplane!,"Jerry Zucker, David Zucker",3.84,['Comedy'],431878,https://letterboxd.com/film/airplane/,,,,
Saving Private Ryan,Steven Spielberg,4.24,"['History', 'Drama', 'War']",1038481,https://letterboxd.com/film/saving-private-ryan/,,,,
Hercules,"Ron Clements, John Musker",3.82,"['Animation', 'Adventure', 'Romance', 'Comedy', 'Fantasy', 'Family']",627632,https://letterboxd.com/film/hercules-1997/,,,,
The Fog,John Carpenter,3.46,['Horror'],130157,https://letterboxd.com/film/the-fog/,,,,
Grave of the Fireflies,Isao Takahata,4.47,"['War', 'Drama', 'Animation']",708350,https://letterboxd.com/film/grave-of-the-fireflies/,,,,
Valerian and the City of a Thousand Planets,Luc Besson,2.66,"['Action', 'Adventure', 'Science Fiction']",186921,https://letterboxd.com/film/valerian-and-the-city-of-a-thousand-planets/,,,,
The Wicker Man,Robin Hardy,3.97,['Horror'],230997,https://letterboxd.com/film/the-wicker-man/,,,,
Death Proof,Quentin Tarantino,3.58,"['Thriller', 'Action']",358521,https://letterboxd.com/film/death-proof/,,,,
The Room,Tommy Wiseau,2.61,"['Romance', 'Drama']",223732,https://letterboxd.com/film/the-room/,,,,
Life of Brian,Terry Jones,3.99,['Comedy'],318907,https://letterboxd.com/film/life-of-brian/,,,,
Fences,Denzel Washington,3.62,['Drama'],108840,https://letterboxd.com/film/fences-2016/,,,,
Predator,John McTiernan,3.78,"['Thriller', 'Science Fiction', 'Adventure', 'Action']",418104,https://letterboxd.com/film/predator/,,,,
Breakfast at Tiffany's,Blake Edwards,3.78,"['Romance', 'Comedy', 'Drama']",372086,https://letterboxd.com/film/breakfast-at-tiffanys/,,,,
Funny Games,Michael Haneke,3.93,"['Thriller', 'Horror', 'Drama']",257591,https://letterboxd.com/film/funny-games/,,,,
Labyrinth,Jim Henson,3.73,"['Fantasy', 'Adventure', 'Family']",304857,https://letterboxd.com/film/labyrinth/,,,,
The Act of Killing,Joshua Oppenheimer,4.39,['Documentary'],77284,https://letterboxd.com/film/the-act-of-killing/,,,,
Crumb,Terry Zwigoff,4.17,['Documentary'],31125,https://letterboxd.com/film/crumb/,,,,
The Naked Gun: From the Files of Police Squad!,David Zucker,3.77,"['Crime', 'Comedy']",213863,https://letterboxd.com/film/the-naked-gun-from-the-files-of-police-squad/,,,,
A Nightmare on Elm Street,Wes Craven,3.72,['Horror'],583821,https://letterboxd.com/film/a-nightmare-on-elm-street/,,,,
Pretty Woman,Garry Marshall,3.67,"['Romance', 'Comedy']",785650,https://letterboxd.com/film/pretty-woman/,,,,
Escape from New York,John Carpenter,3.64,"['Action', 'Science Fiction']",208582,https://letterboxd.com/film/escape-from-new-york/,,,,
Dirty Dancing,Emile Ardolino,3.69,"['Drama', 'Romance', 'Music']",539289,https://letterboxd.com/film/dirty-dancing/,,,,
Mad Max 2,George Miller,3.89,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",211164,https://letterboxd.com/film/mad-max-2/,,,,
American Beauty,Sam Mendes,3.95,['Drama'],916473,https://letterboxd.com/film/american-beauty/,,,,
The Babadook,Jennifer Kent,3.35,"['Drama', 'Horror']",600923,https://letterboxd.com/film/the-babadook/,,,,
Black Mass,Scott Cooper,3.11,"['History', 'Drama', 'Crime']",101805,https://letterboxd.com/film/black-mass-2015/,,,,
A Trip to the Moon,Georges Méliès,3.98,"['Science Fiction', 'Adventure']",223484,https://letterboxd.com/film/a-trip-to-the-moon/,,,,
Atomic Blonde,David Leitch,3.28,"['Thriller', 'Adventure', 'Action']",236784,https://letterboxd.com/film/atomic-blonde/,,,,
Grease,Randal Kleiser,3.53,"['Comedy', 'Romance']",774927,https://letterboxd.com/film/grease/,,,,
Magnolia,Paul Thomas Anderson,4.22,['Drama'],387168,https://letterboxd.com/film/magnolia/,,,,
The Great Gatsby,Jack Clayton,3.19,"['Romance', 'Drama']",22593,https://letterboxd.com/film/the-great-gatsby/,,,,
Rogue One: A Star Wars Story,Gareth Edwards,3.75,"['Adventure', 'Science Fiction', 'Action']",1163937,https://letterboxd.com/film/rogue-one-a-star-wars-story/,,,,
Misery,Rob Reiner,3.98,"['Horror', 'Drama', 'Thriller']",417521,https://letterboxd.com/film/misery/,,,,
Neon Genesis Evangelion: The End of Evangelion,"Hideaki Anno, Kazuya Tsurumaki",4.47,"['Science Fiction', 'Drama', 'Action', 'Animation']",369887,https://letterboxd.com/film/neon-genesis-evangelion-the-end-of-evangelion/,,,,
Audition,Takashi Miike,3.81,"['Drama', 'Horror']",209043,https://letterboxd.com/film/audition/,,,,
The Hunt,Thomas Vinterberg,4.28,['Drama'],401192,https://letterboxd.com/film/the-hunt-2012/,,,,
